degree,year,goal,study_hours,self_learning_hours,screen_time,sleep_hours,cgpa,assignment_score,internal_marks,backlogs,projects_count,hackathons_count,internships_count,github_activity_score,programming_score,sql_score,communication_score,resume_score,ats_score,academic_score,academic_category,employability_score
B.Tech,2,Placement,3.1,1.5,5.8,7.8,6.82,78,76,2,4,0,0,80,64,56,77,46,42,53.1,At Risk,56.6
B.Tech,1,Placement,4.5,3.5,2.0,7.0,6.8,88,75,1,3,2,0,65,60,65,66,56,58,70.7,Average,52.2
BCA,3,Higher Studies,5.0,4.6,7.5,7.3,7.52,99,86,0,8,5,0,100,92,27,81,91,85,92.8,Excellent,81.9
BBA,2,Placement,1.0,3.4,2.0,6.4,7.94,94,92,2,4,1,0,58,69,60,63,63,65,63.4,Average,57.2
B.Tech,3,Placement,6.1,2.1,7.3,7.4,8.09,82,94,0,4,5,1,82,75,67,67,48,52,87.7,Good,65.0
Law,2,Placement,3.8,1.4,3.4,7.1,7.72,85,94,1,2,3,0,35,45,79,74,40,40,68.3,Average,42.3
B.Tech,2,Higher Studies,2.5,2.7,5.2,5.5,7.59,90,79,1,4,4,1,100,59,74,67,52,49,68.4,Average,64.0
BCA,3,Placement,5.9,3.5,7.0,6.0,8.21,89,78,0,6,4,1,82,83,84,71,68,66,95.5,Excellent,78.0
BBA,2,Placement,4.5,2.0,10.4,6.5,7.47,80,82,0,3,0,0,68,57,43,68,51,56,72.8,Average,49.0
B.Com,2,Placement,6.3,2.2,6.2,6.2,8.42,89,91,0,4,4,0,48,65,80,48,67,67,92.4,Excellent,56.2
BBA,2,Entrepreneurship,5.2,5.9,2.0,8.3,7.08,85,81,0,6,3,1,84,90,69,74,61,69,93.8,Excellent,77.5
B.Com,2,Placement,4.5,3.8,7.9,7.0,8.16,82,58,0,5,2,1,71,75,56,79,68,59,88.5,Good,69.7
B.Tech,2,Government Exam,4.3,3.9,5.5,6.2,8.31,99,73,0,5,4,0,59,74,66,63,40,40,91.5,Excellent,58.6
B.Com,4,Placement,5.2,0.7,6.1,6.5,8.31,88,86,0,5,6,2,71,60,100,62,67,68,87.5,Good,73.7
B.Tech,2,Placement,3.9,1.7,7.1,6.5,8.16,90,94,1,4,4,0,73,63,67,68,45,47,73.1,Average,55.6
B.Com,2,Higher Studies,3.2,2.6,2.0,6.7,7.8,97,78,2,4,3,0,64,58,66,88,40,40,67.3,Average,54.5
BCA,3,Placement,5.4,1.3,6.0,5.9,8.77,92,95,0,2,3,1,61,60,77,61,62,69,87.0,Good,55.5
B.Com,2,Entrepreneurship,4.3,4.4,5.2,6.2,5.5,85,65,0,4,1,0,54,70,61,72,50,46,68.5,Average,56.1
BCA,2,Entrepreneurship,4.6,4.2,8.4,7.8,8.35,83,90,0,7,2,0,100,95,53,62,69,69,94.4,Excellent,76.9
BCA,4,Government Exam,6.1,1.9,7.5,7.2,9.6,100,95,0,5,5,1,71,67,86,72,56,62,100.0,Excellent,68.3
BCA,3,Higher Studies,4.3,4.6,2.7,6.8,6.99,91,86,1,8,5,1,100,100,43,49,89,98,83.4,Good,86.7
BBA,3,Placement,4.5,2.5,8.5,7.0,6.92,77,74,1,6,3,1,100,80,65,86,64,63,69.4,Average,78.0
B.Tech,3,Placement,3.6,5.6,6.9,7.0,8.6,91,77,0,8,5,1,100,93,64,69,88,100,99.9,Excellent,89.1
B.Tech,1,Entrepreneurship,5.1,2.7,2.9,6.8,6.84,82,88,2,3,2,0,53,85,52,61,60,61,62.6,Average,56.3
B.Tech,3,Higher Studies,5.0,3.2,6.1,7.5,7.05,86,71,2,5,4,0,99,74,45,61,62,70,65.8,Average,63.6
B.Tech,2,Higher Studies,5.9,4.2,8.1,7.4,7.93,93,80,0,5,4,0,55,77,63,68,62,61,91.3,Excellent,62.4
B.Com,2,Placement,3.6,4.0,3.6,5.4,6.73,76,93,3,6,3,0,98,82,70,89,55,55,57.2,Average,72.8
B.Tech,2,Placement,3.8,3.1,8.8,6.9,8.26,90,89,0,4,2,1,70,75,80,83,51,56,83.0,Good,67.0
Law,1,Entrepreneurship,5.7,2.3,3.0,5.5,7.04,97,86,1,3,2,0,68,52,53,61,53,57,73.1,Average,48.6
B.Tech,1,Placement,4.9,3.1,4.4,7.6,7.96,98,91,0,5,3,0,78,78,53,66,61,61,90.1,Excellent,63.7
B.Tech,4,Placement,3.1,1.5,4.1,7.8,7.63,94,90,1,5,5,1,65,57,87,66,64,59,71.4,Average,66.1
BBA,2,Placement,6.5,2.7,8.8,6.4,9.37,95,92,1,4,4,0,51,70,57,41,49,62,90.9,Excellent,52.1
BBA,2,Government Exam,2.0,1.2,5.0,6.9,8.24,100,80,0,2,2,0,43,63,59,62,41,40,73.1,Average,44.7
BCA,1,Placement,5.7,0.4,3.7,4.9,7.27,94,100,1,2,0,0,40,47,83,67,40,40,68.3,Average,42.8
BCA,1,Government Exam,2.6,2.6,6.9,8.0,6.15,81,77,3,4,3,0,80,77,40,54,63,54,39.3,At Risk,58.4
BBA,3,Placement,7.3,4.0,7.3,7.7,8.75,95,92,0,8,5,1,100,82,46,85,74,71,100.0,Excellent,84.1
B.Tech,2,Entrepreneurship,2.2,3.6,7.3,8.2,6.64,79,85,1,5,2,0,80,74,85,51,52,56,61.6,Average,63.3
Law,2,Government Exam,6.2,2.4,5.5,8.5,7.53,90,80,1,4,3,0,68,59,55,52,61,60,78.3,Good,53.8
Law,1,Placement,4.4,4.6,6.5,5.8,6.6,87,78,2,6,4,0,100,100,56,73,59,73,64.6,Average,75.0
BBA,3,Higher Studies,4.0,1.8,4.7,7.9,8.1,96,99,0,4,3,2,64,64,58,68,67,68,83.6,Good,67.2
B.Tech,1,Placement,4.8,0.2,9.3,8.5,7.03,83,77,0,0,1,0,16,35,60,59,49,46,61.7,Average,29.9
BBA,1,Placement,5.4,0.0,8.3,5.5,7.69,76,89,1,1,0,0,12,42,58,77,40,48,63.5,Average,34.5
B.Tech,2,Entrepreneurship,3.1,1.1,8.2,6.8,7.35,88,91,0,3,1,0,69,59,67,67,43,55,68.3,Average,50.8
B.Tech,2,Placement,3.3,3.5,7.6,6.6,7.56,93,83,0,6,4,0,90,80,83,87,48,55,81.7,Good,71.7
B.Tech,1,Placement,5.5,1.7,7.0,7.9,8.32,83,87,0,3,1,0,73,52,52,43,51,52,85.4,Good,46.8
BCA,3,Placement,1.9,3.1,3.5,4.6,6.97,84,90,1,7,6,1,85,98,56,58,71,70,70.2,Average,81.3
B.Com,3,Placement,3.6,4.5,7.3,8.8,6.78,94,81,1,7,5,0,96,100,65,84,82,74,72.8,Average,83.1
BBA,4,Entrepreneurship,8.0,1.2,6.2,6.9,6.43,72,64,3,5,5,0,94,72,88,70,55,57,57.5,Average,66.7
BBA,2,Placement,3.0,3.1,8.5,7.9,7.45,84,96,0,3,3,0,60,69,60,63,57,59,72.4,Average,53.5
B.Tech,1,Entrepreneurship,6.2,3.1,7.6,6.9,7.69,100,77,0,4,1,0,50,74,51,60,49,43,86.9,Good,54.1
B.Tech,2,Entrepreneurship,3.6,1.5,7.1,7.5,6.8,85,83,1,3,0,1,69,57,34,69,66,66,59.1,Average,55.7
B.Tech,4,Placement,5.3,4.1,2.6,4.7,7.75,84,75,0,7,6,1,84,86,53,51,87,93,97.4,Excellent,79.8
Law,3,Placement,5.5,2.2,5.8,6.6,8.49,92,84,1,5,4,1,92,86,51,47,63,62,84.9,Good,70.4
B.Tech,3,Entrepreneurship,6.2,2.0,4.9,7.8,8.83,100,86,0,5,2,0,65,78,47,71,58,60,98.4,Excellent,61.8
B.Com,1,Placement,4.2,5.0,6.5,7.3,6.15,79,80,1,6,4,0,100,79,66,75,62,52,69.3,Average,71.3
BCA,2,Placement,7.5,3.1,5.2,5.4,7.7,93,78,0,5,4,0,81,73,61,76,62,71,95.1,Excellent,64.7
B.Tech,1,Placement,3.6,3.6,5.4,7.1,8.31,93,100,1,4,1,0,73,78,86,59,63,60,79.1,Good,63.1
BBA,3,Higher Studies,4.9,4.1,6.9,6.2,9.06,97,91,0,6,2,1,90,89,68,59,67,65,100.0,Excellent,77.3
BCA,4,Government Exam,4.9,1.7,5.1,6.1,6.89,89,89,1,7,6,1,100,86,80,64,84,85,74.1,Average,84.7
B.Com,4,Placement,2.8,4.0,6.2,5.5,8.56,90,89,0,8,7,1,100,84,62,53,81,80,94.7,Excellent,83.8
Law,2,Placement,4.1,1.9,3.0,7.6,6.3,73,88,0,1,0,0,42,55,51,72,56,61,65.4,Average,42.0
B.Tech,2,Entrepreneurship,4.7,1.8,4.3,8.1,8.64,97,72,1,1,2,1,31,61,74,61,54,52,76.7,Good,48.2
B.Tech,4,Government Exam,3.9,2.2,7.3,9.0,7.22,85,78,1,7,5,1,100,71,48,64,64,61,72.4,Average,74.9
BCA,3,Higher Studies,8.0,1.8,3.5,5.5,9.51,93,88,0,2,2,1,32,70,82,62,61,66,100.0,Excellent,55.8
Law,1,Government Exam,3.2,3.5,8.5,7.8,6.97,89,78,0,3,2,0,68,71,53,71,52,40,70.0,Average,54.1
B.Tech,2,Placement,6.3,2.8,7.9,7.8,7.56,98,89,0,3,1,1,64,67,76,68,57,51,83.0,Good,60.4
BCA,1,Government Exam,5.8,1.9,5.5,6.4,7.65,87,90,0,2,0,0,62,50,70,87,52,53,80.9,Good,48.4
BCA,2,Placement,4.5,3.3,12.0,6.1,6.19,81,79,1,5,3,0,81,73,50,60,53,57,59.6,Average,60.6
BBA,2,Placement,3.2,2.2,8.5,5.9,5.79,69,77,1,3,2,1,60,60,83,86,58,62,49.8,At Risk,61.0
B.Tech,3,Government Exam,3.3,2.1,4.1,6.5,7.86,87,100,1,4,0,1,72,57,93,43,59,46,73.0,Average,61.2
BBA,2,Placement,3.7,2.6,7.5,7.2,8.35,93,90,1,5,2,0,61,72,53,70,65,63,77.6,Good,61.6
Law,1,Entrepreneurship,1.8,3.1,6.1,8.4,7.72,88,68,0,6,2,0,97,75,55,45,61,65,79.2,Good,65.9
B.Tech,2,Placement,3.0,3.0,4.4,8.1,6.22,78,86,0,5,4,0,100,82,66,52,61,56,70.2,Average,66.6
B.Tech,4,Entrepreneurship,2.3,2.1,3.9,5.4,7.67,94,90,1,5,2,1,100,48,78,53,69,68,70.5,Average,65.8
Law,3,Entrepreneurship,6.5,3.5,8.0,6.2,6.99,85,92,1,7,4,0,92,87,83,52,71,74,80.5,Good,76.4
B.Tech,2,Placement,5.4,2.2,4.8,8.3,8.08,100,92,0,5,5,0,52,66,59,57,56,56,90.6,Excellent,57.0
B.Com,4,Government Exam,5.7,1.7,5.8,6.3,8.77,95,82,0,6,5,0,92,76,67,91,73,76,96.8,Excellent,73.4
BCA,4,Placement,5.4,0.7,4.2,6.9,8.04,68,94,0,3,3,0,72,76,59,54,60,59,83.8,Good,55.9
B.Tech,1,Entrepreneurship,4.8,3.7,4.5,5.3,8.93,85,91,0,5,2,0,79,93,58,45,75,77,98.6,Excellent,67.9
B.Com,1,Placement,6.7,2.5,5.7,8.2,7.77,93,94,2,3,2,0,84,61,57,70,44,47,71.5,Average,52.2
B.Tech,3,Government Exam,3.6,2.8,6.8,5.1,7.24,81,96,0,5,4,2,68,74,44,67,77,81,77.4,Good,73.3
BCA,4,Placement,4.7,3.8,2.0,5.4,7.66,83,84,0,7,5,1,100,83,77,91,63,67,94.8,Excellent,83.3
B.Tech,4,Placement,5.6,1.9,6.0,8.1,6.53,72,88,0,6,5,2,90,76,66,64,71,75,79.0,Good,79.9
BCA,4,Placement,2.5,0.9,4.5,8.9,6.92,80,90,1,4,5,2,78,69,87,37,77,75,60.1,Average,71.5
B.Tech,3,Placement,8.0,2.6,8.8,6.7,7.82,90,87,0,7,5,1,100,74,77,59,75,72,96.9,Excellent,79.7
B.Tech,2,Government Exam,4.5,2.9,11.9,7.0,7.33,89,99,1,4,3,0,85,84,58,59,48,49,66.1,Average,60.7
Law,1,Higher Studies,4.7,2.2,5.3,7.9,7.85,81,94,0,2,2,0,42,66,47,50,54,64,80.0,Good,44.7
B.Tech,1,Higher Studies,6.4,4.3,2.6,7.3,6.53,89,76,3,5,2,0,98,89,93,58,62,63,63.3,Average,71.7
BBA,2,Placement,5.9,0.0,6.2,6.6,6.75,74,84,2,2,0,0,49,53,39,63,40,48,53.4,At Risk,40.5
B.Tech,3,Placement,4.6,3.8,5.6,6.5,8.6,96,96,0,7,5,1,100,83,59,64,84,92,98.6,Excellent,81.9
BBA,3,Placement,4.7,3.4,9.9,5.4,5.8,81,93,1,6,4,2,100,91,60,48,80,87,61.4,Average,83.9
B.Tech,3,Government Exam,2.2,3.0,9.3,7.2,7.79,81,91,0,7,4,0,100,84,55,72,63,70,79.8,Good,74.5
Law,2,Entrepreneurship,3.7,0.0,7.7,6.9,7.11,77,85,0,2,1,0,33,36,52,84,40,40,64.2,Average,38.2
BCA,3,Placement,5.3,4.0,4.8,6.6,7.84,92,96,0,7,6,0,100,91,46,68,71,66,95.8,Excellent,76.2
B.Tech,1,Placement,5.2,1.3,7.4,6.0,9.08,90,89,0,3,2,0,70,50,54,78,48,43,89.3,Good,49.2
B.Tech,2,Placement,6.3,1.9,6.5,6.1,7.73,87,78,2,3,3,1,33,57,64,67,58,64,68.1,Average,53.7
B.Tech,3,Higher Studies,4.3,2.3,6.5,7.6,8.11,96,93,0,5,4,2,72,79,69,52,76,75,86.0,Good,75.9
BCA,3,Higher Studies,2.4,3.0,2.9,7.9,7.32,90,81,0,6,4,1,100,80,57,68,76,73,80.9,Good,77.2
B.Tech,4,Government Exam,6.1,3.3,8.1,6.7,7.71,81,100,1,7,6,1,65,87,57,58,78,76,84.4,Good,77.8
B.Com,2,Placement,6.7,3.6,6.2,6.6,7.69,88,87,0,4,3,0,52,83,49,51,68,70,90.4,Excellent,58.5
B.Tech,2,Government Exam,5.8,3.5,5.8,6.1,8.41,84,94,0,4,3,0,58,55,67,64,41,40,94.0,Excellent,51.3
B.Tech,2,Higher Studies,4.3,2.8,4.8,7.9,6.88,91,77,1,5,3,0,78,85,65,74,55,52,70.6,Average,66.5
BCA,2,Placement,6.1,3.0,4.4,7.0,6.79,96,92,0,4,2,0,63,73,70,60,64,63,82.1,Good,59.5
BBA,4,Higher Studies,8.0,1.2,6.6,7.4,8.17,84,87,0,6,4,0,87,74,56,88,80,85,97.1,Excellent,71.9
B.Tech,3,Placement,4.7,1.6,2.5,7.4,7.77,88,85,0,3,3,1,36,61,51,76,69,61,82.9,Good,56.1
B.Tech,4,Placement,2.5,3.6,7.6,6.7,5.64,85,76,1,8,6,1,100,99,64,58,84,84,60.3,Average,88.8
B.Tech,1,Entrepreneurship,3.6,3.5,3.9,5.8,7.43,87,74,0,4,0,0,58,82,72,58,63,61,81.4,Good,61.0
BBA,4,Placement,5.4,3.4,2.0,6.0,6.61,87,79,0,6,4,1,63,81,51,90,78,81,85.9,Good,75.8
BBA,1,Government Exam,2.1,1.9,9.6,8.1,7.78,89,90,0,2,0,0,61,56,55,60,43,42,66.6,Average,44.4
BCA,4,Higher Studies,4.8,3.6,4.3,6.3,5.99,71,66,1,7,5,1,92,94,46,69,80,76,71.1,Average,82.5
B.Com,2,Placement,5.1,1.1,4.6,6.6,9.39,97,100,0,3,1,0,37,42,47,70,44,55,94.0,Excellent,41.8
B.Com,2,Higher Studies,6.8,3.8,8.3,5.9,7.62,97,83,0,4,3,0,78,74,56,44,57,64,88.7,Good,57.1
BCA,2,Higher Studies,6.5,2.2,9.7,5.8,7.09,87,85,0,3,2,0,48,67,52,44,48,49,76.8,Good,47.7
B.Com,4,Placement,5.8,4.5,2.9,6.2,7.51,100,67,0,8,8,1,100,94,77,75,83,86,99.6,Excellent,90.3
B.Tech,1,Placement,1.3,0.7,4.1,8.7,7.59,73,87,0,1,1,0,22,41,65,52,40,40,63.7,Average,33.4
B.Tech,2,Placement,5.9,4.6,4.2,7.7,8.58,95,80,0,7,5,1,97,92,83,65,76,77,100.0,Excellent,85.2
B.Tech,4,Placement,5.6,2.1,7.9,6.5,7.49,82,82,0,6,3,1,77,73,84,46,63,77,84.8,Good,71.8
B.Tech,2,Placement,4.9,2.0,9.3,8.1,6.34,74,67,1,3,2,0,37,61,65,61,49,55,58.2,Average,48.1
BCA,1,Placement,1.9,2.7,3.8,6.8,6.09,91,72,0,3,0,0,100,62,34,67,61,56,62.1,Average,54.0
Law,2,Placement,3.3,1.7,8.8,8.4,7.66,86,84,0,3,3,0,43,74,70,40,40,42,71.8,Average,49.0
B.Tech,2,Entrepreneurship,2.7,2.4,4.6,9.0,8.2,88,85,1,4,3,0,46,60,82,65,56,56,74.1,Average,55.0
B.Tech,4,Placement,1.5,1.6,6.7,8.0,8.13,93,94,0,5,4,3,96,78,74,66,95,97,76.0,Good,87.6
BCA,3,Government Exam,4.5,1.7,3.5,7.1,7.73,71,70,0,2,3,2,47,51,70,59,71,80,79.2,Good,57.4
Law,2,Higher Studies,3.3,3.1,5.8,7.7,8.27,100,87,0,6,3,1,92,84,61,51,72,68,88.5,Good,75.7
B.Tech,4,Government Exam,8.0,1.4,5.8,7.0,9.8,100,93,0,5,5,1,72,75,47,60,74,72,100.0,Excellent,68.1
BCA,2,Placement,4.2,1.6,5.4,5.2,8.61,100,85,1,5,4,0,73,83,74,60,54,48,81.4,Good,64.9
B.Tech,1,Entrepreneurship,6.4,0.9,6.8,6.3,8.7,96,82,0,1,0,0,27,51,62,88,49,50,85.8,Good,41.1
B.Tech,2,Higher Studies,2.1,1.9,4.0,6.0,6.5,80,89,0,4,4,0,85,64,69,63,65,66,66.2,Average,59.8
Law,2,Government Exam,3.7,4.1,4.2,6.3,8.32,83,100,0,4,3,0,64,76,56,59,57,68,89.6,Good,57.9
Law,1,Placement,4.6,1.5,6.9,8.8,8.01,99,73,0,0,0,0,37,61,94,63,48,43,74.1,Average,42.1
B.Tech,4,Placement,3.1,1.6,8.7,8.1,7.96,97,79,0,5,4,1,79,72,68,70,59,64,77.6,Good,69.0
Law,3,Higher Studies,3.9,2.7,6.0,7.4,8.62,96,81,0,5,2,0,76,65,59,69,50,40,90.0,Excellent,59.6
BCA,2,Placement,4.2,2.1,7.0,7.8,7.85,91,84,0,5,2,0,64,70,47,70,66,75,82.4,Good,60.8
B.Com,3,Placement,4.1,5.2,7.5,5.1,7.43,89,94,0,8,5,2,100,97,44,72,100,100,90.7,Excellent,95.0
BCA,3,Placement,7.3,2.3,7.7,7.7,7.03,80,87,0,6,4,1,92,85,74,47,72,73,87.0,Good,76.6
BCA,4,Higher Studies,5.1,2.9,4.1,7.9,7.39,100,83,1,7,6,2,100,76,56,71,91,89,82.1,Good,86.6
BCA,4,Entrepreneurship,5.2,3.6,4.4,4.8,7.87,87,86,0,8,5,2,100,90,58,67,64,66,97.5,Excellent,88.8
BBA,2,Placement,5.3,3.6,4.6,7.8,7.95,86,84,0,4,3,0,74,76,56,57,60,57,90.1,Excellent,59.0
B.Tech,3,Government Exam,5.4,2.8,9.9,5.6,7.93,98,92,0,7,4,2,100,83,48,66,80,80,89.4,Good,85.5
B.Tech,3,Higher Studies,4.4,2.3,7.0,5.0,8.42,91,95,0,6,2,0,92,79,60,63,80,86,90.1,Excellent,71.7
B.Tech,3,Placement,4.0,4.9,6.9,8.3,8.28,91,92,1,6,4,2,80,90,65,64,86,84,85.2,Good,84.8
BBA,1,Entrepreneurship,4.8,2.4,6.7,6.0,7.56,99,67,0,3,2,0,74,66,49,67,52,51,78.7,Good,52.6
B.Tech,1,Entrepreneurship,6.2,2.0,3.4,6.3,7.07,90,83,0,2,0,0,22,50,69,44,43,42,79.9,Good,38.9
BBA,2,Government Exam,6.2,1.7,9.9,8.0,8.17,96,86,1,5,1,0,65,78,46,68,70,75,79.5,Good,63.1
Law,2,Placement,4.1,0.4,7.0,6.7,9.54,86,100,0,1,1,0,20,42,58,72,54,53,84.7,Good,36.9
B.Tech,1,Higher Studies,5.7,3.5,7.4,6.8,8.04,93,89,0,4,3,0,71,73,70,67,49,47,88.8,Good,58.9
BBA,3,Placement,4.2,0.0,2.5,6.8,7.26,78,88,0,3,5,1,55,45,64,56,69,70,74.3,Average,53.4
B.Tech,1,Placement,4.6,2.5,7.6,7.3,8.06,86,83,0,3,0,0,28,65,40,54,60,65,81.6,Good,46.6
B.Com,3,Placement,3.8,2.3,5.3,6.8,8.0,91,94,0,7,6,0,100,85,23,67,70,63,88.6,Good,72.0
B.Tech,2,Government Exam,4.2,5.2,3.4,7.1,8.06,90,97,0,8,6,0,100,100,73,74,78,82,100.0,Excellent,85.6
BBA,4,Entrepreneurship,6.5,0.3,4.1,6.5,9.11,100,78,0,2,2,3,36,44,75,80,76,78,92.9,Excellent,63.0
B.Com,2,Placement,4.6,1.4,3.5,7.4,7.94,95,76,0,3,4,0,62,69,71,74,43,45,82.8,Good,53.8
Law,1,Placement,4.7,2.3,3.4,7.3,8.8,100,96,0,3,2,0,62,69,61,71,54,54,91.7,Excellent,54.0
BBA,3,Entrepreneurship,2.3,2.3,6.1,8.9,7.46,76,83,0,6,4,2,87,77,61,34,78,79,77.0,Good,77.6
BCA,4,Placement,4.0,1.8,5.2,6.6,8.87,100,98,0,6,3,2,97,76,63,57,71,74,93.5,Excellent,79.6
BCA,4,Higher Studies,4.1,2.4,6.7,6.8,8.61,92,91,0,5,4,3,86,68,73,68,77,69,89.4,Good,81.7
B.Com,2,Placement,3.3,1.0,9.4,7.2,8.22,100,93,0,1,1,1,48,43,62,56,40,40,70.1,Average,41.8
BCA,2,Placement,4.5,2.9,5.7,8.0,8.29,71,82,0,4,5,0,69,83,70,53,42,40,88.0,Good,58.5
B.Tech,4,Entrepreneurship,3.9,0.0,2.0,5.9,9.55,95,95,0,3,2,1,60,52,84,52,55,64,92.0,Excellent,55.1
Law,1,Placement,4.6,2.5,5.5,7.1,8.56,81,91,0,3,1,0,52,86,50,86,60,67,87.8,Good,58.8
BBA,3,Placement,4.7,1.8,8.4,4.5,6.84,77,76,0,4,2,2,61,57,62,49,61,50,71.9,Average,63.0
BBA,2,Placement,3.1,3.7,5.8,6.7,7.58,88,93,0,7,7,0,92,92,52,62,58,60,85.5,Good,73.7
B.Tech,1,Entrepreneurship,3.9,4.6,9.1,8.1,7.25,83,68,0,6,2,0,79,90,59,56,79,78,81.8,Good,72.0
BBA,2,Entrepreneurship,4.6,2.1,6.9,6.3,9.45,100,94,0,4,4,0,61,68,63,54,48,51,94.8,Excellent,54.3
B.Tech,2,Placement,6.3,4.2,2.3,7.2,8.97,100,80,0,6,2,1,88,73,51,69,72,73,100.0,Excellent,73.3
BBA,3,Placement,4.9,2.1,6.2,6.5,9.46,89,84,0,4,3,0,83,57,40,74,60,59,96.4,Excellent,55.2
B.Tech,4,Higher Studies,3.5,1.3,6.6,6.1,6.74,79,89,0,6,5,0,86,76,45,50,62,62,72.5,Average,64.9
BBA,2,Placement,5.1,4.6,8.2,8.0,8.66,85,80,0,5,2,0,75,75,71,65,59,64,95.6,Excellent,64.0
Law,4,Higher Studies,7.1,3.1,9.6,6.0,6.73,92,72,3,5,5,1,75,87,54,63,61,58,57.6,Average,70.5
B.Tech,1,Placement,5.9,2.5,7.8,7.3,6.35,83,85,1,4,1,0,67,68,61,59,50,48,65.6,Average,55.5
Law,2,Placement,5.3,3.3,6.9,7.3,7.34,86,75,0,4,1,0,93,75,65,53,58,61,82.5,Good,60.9
B.Tech,1,Higher Studies,5.6,2.8,7.4,6.1,9.1,97,99,0,3,1,0,50,65,78,78,42,46,93.9,Excellent,52.6
B.Com,4,Placement,6.7,2.4,5.7,7.2,7.01,82,88,0,7,4,2,100,84,60,52,95,96,89.2,Good,87.7
BBA,3,Entrepreneurship,6.1,0.9,3.1,6.1,7.8,82,79,2,2,2,0,49,65,68,49,40,40,67.5,Average,45.2
BCA,3,Placement,5.4,2.2,6.1,7.5,8.77,94,97,0,3,2,1,56,72,48,78,61,53,90.5,Excellent,59.7
BBA,4,Placement,6.1,3.2,6.7,5.7,8.58,90,73,0,8,7,1,100,94,62,67,71,63,100.0,Excellent,86.3
B.Com,3,Entrepreneurship,2.9,2.4,3.6,6.7,9.33,99,96,0,5,3,1,87,79,50,50,71,70,94.4,Excellent,69.6
B.Tech,4,Placement,2.2,3.6,8.7,6.7,7.24,73,73,2,8,6,3,87,100,62,64,88,89,63.2,Average,98.6
B.Tech,3,Government Exam,4.7,3.0,8.0,8.1,7.21,87,79,0,6,3,2,76,77,66,57,84,82,81.8,Good,80.1
BBA,4,Placement,4.6,1.4,3.3,7.1,6.61,77,77,0,6,4,1,83,63,61,82,78,73,78.3,Good,73.4
B.Com,2,Higher Studies,3.7,0.9,8.7,8.0,7.12,86,93,1,3,1,0,52,63,58,62,59,53,59.1,Average,51.0
BBA,1,Government Exam,5.7,2.3,5.4,7.6,6.77,91,78,1,3,3,0,57,74,69,71,48,48,68.6,Average,54.5
BBA,2,Placement,1.7,1.9,4.4,7.5,5.54,73,76,2,5,2,1,100,58,58,64,80,86,42.7,At Risk,69.1
B.Tech,1,Government Exam,3.7,2.9,8.2,6.7,9.22,100,88,0,4,1,0,77,66,58,82,56,52,90.5,Excellent,59.0
B.Com,3,Higher Studies,3.8,1.6,5.9,8.0,7.51,73,77,1,4,3,1,70,64,49,67,63,63,68.8,Average,61.4
B.Tech,2,Placement,2.0,1.8,9.8,6.6,9.54,100,84,0,4,2,0,62,59,72,78,60,56,84.2,Good,57.3
BCA,3,Higher Studies,6.7,3.8,4.3,5.3,7.16,95,86,2,6,5,1,87,83,64,71,58,61,76.7,Good,75.1
B.Tech,1,Higher Studies,2.5,2.7,2.5,6.8,6.88,77,82,1,3,3,0,38,56,57,58,50,49,63.3,Average,46.2
B.Tech,1,Placement,3.6,1.7,5.4,7.5,6.74,76,88,0,3,1,0,24,59,49,65,54,59,68.7,Average,45.9
B.Tech,2,Placement,5.9,2.5,7.6,5.4,7.2,74,81,0,3,3,0,36,70,100,62,47,47,78.7,Good,53.7
B.Tech,4,Placement,5.5,4.2,4.1,6.1,8.51,99,87,0,8,5,3,100,80,20,58,95,96,100.0,Excellent,91.2
BBA,2,Placement,2.8,2.9,3.3,5.8,7.84,86,92,1,5,3,0,69,68,53,52,73,69,75.6,Good,60.5
B.Tech,2,Government Exam,5.5,3.2,6.5,7.8,8.52,89,86,0,4,3,0,60,84,57,81,49,45,92.7,Excellent,60.4
B.Tech,3,Placement,4.9,1.6,3.1,8.7,8.85,85,78,0,5,4,2,95,64,78,40,82,84,95.7,Excellent,75.0
B.Tech,3,Entrepreneurship,8.0,3.7,6.6,6.8,9.1,100,98,0,6,4,2,52,64,60,80,74,76,100.0,Excellent,74.6
B.Tech,2,Placement,5.1,5.3,5.3,7.5,6.76,76,76,1,8,6,0,100,100,67,48,72,82,82.6,Good,81.6
B.Tech,2,Placement,4.3,1.6,7.0,7.5,7.07,85,83,0,3,3,0,39,60,58,71,56,50,71.6,Average,49.5
B.Tech,1,Government Exam,3.2,1.1,3.2,8.6,7.49,89,79,0,2,1,0,48,55,92,57,54,59,72.5,Average,48.0
BCA,4,Higher Studies,3.4,2.7,8.6,6.3,9.8,95,86,0,5,3,2,88,76,70,44,78,79,95.4,Excellent,76.4
BBA,1,Higher Studies,3.3,3.6,5.6,6.8,8.08,85,72,0,4,2,0,76,84,55,78,61,57,83.9,Good,63.4
BCA,2,Placement,6.6,2.4,7.5,6.7,7.98,86,89,0,4,1,0,90,63,75,36,54,41,88.8,Good,56.4
BCA,1,Placement,4.5,1.2,7.9,7.1,8.18,95,60,0,3,2,0,64,59,61,74,48,45,79.6,Good,51.1
B.Tech,1,Placement,5.3,2.4,3.7,9.0,7.16,83,94,0,3,1,0,59,61,92,66,60,57,80.4,Good,55.2
B.Com,3,Entrepreneurship,6.8,3.2,7.8,7.0,8.15,100,95,0,7,3,1,100,93,85,77,61,58,98.2,Excellent,84.8
