degree,branch,year,cgpa,attendance,study_hours,self_learning_hours,sleep_hours,screen_time,assignment_score,internal_marks,backlogs,projects_count,hackathons_count,certifications_count,github_activity_score,linkedin_activity_score,programming_score,sql_score,dsa_score,communication_score,aptitude_score,internships_count,resume_score,ats_score,goal,target_role,academic_score,academic_category,employability_score,placement_probability
B.Tech,ECE,2,8.12,86,8,3,6,8,79,98,1,1,4,2,51,57,100,24,69,31,57,1,67,54,Placement,Data Analyst,100.0,Excellent,55.8,53.0
B.Tech,AI&DS,2,6.45,61,7,1,7,11,92,77,2,5,1,6,100,37,65,87,82,99,32,2,78,75,Government Exam,Business Analyst,83.0,Good,87.8,83.4
Law,Criminal,3,7.56,71,3,3,4,11,90,85,1,4,5,0,39,48,83,66,68,93,32,2,76,96,Entrepreneurship,Software Engineer,99.3,Excellent,82.4,78.3
B.Tech,IT,1,8.4,82,3,4,5,8,69,62,1,1,4,2,85,42,63,55,83,65,58,1,48,44,Placement,Software Engineer,99.9,Excellent,56.4,53.6
B.Tech,CSE,3,6.89,58,5,3,8,4,56,70,0,6,2,6,69,58,61,34,69,42,61,1,75,88,Placement,Data Analyst,100.0,Excellent,72.2,68.6
B.Tech,CSE,4,5.84,79,3,3,7,11,54,75,3,4,2,5,79,82,80,58,29,31,83,0,74,43,Entrepreneurship,Data Analyst,58.5,Average,55.8,53.0
BCA,General,4,8.01,95,8,4,4,4,80,80,3,1,5,1,61,20,32,57,42,34,67,1,82,65,Government Exam,Software Engineer,100.0,Excellent,50.2,47.7
BCA,General,1,9.58,40,6,3,8,6,78,65,0,0,4,3,86,12,94,55,56,69,85,2,95,82,Higher Studies,Software Engineer,100.0,Excellent,73.8,70.1
B.Com,Hons,2,7.59,74,8,4,8,6,64,80,1,4,0,0,8,98,42,21,91,93,94,0,88,58,Placement,Business Analyst,100.0,Excellent,57.6,54.7
BBA,HR,1,9.4,44,2,1,6,10,74,62,1,7,0,4,98,2,37,34,29,68,50,2,97,53,Government Exam,ML Engineer,97.8,Excellent,77.2,73.3
Law,Corporate,1,9.09,89,8,4,4,10,62,79,1,0,1,1,92,88,73,74,44,64,70,0,41,66,Government Exam,Data Analyst,100.0,Excellent,47.4,45.0
Law,Criminal,4,6.13,51,5,1,7,11,93,81,1,0,2,7,77,31,59,96,52,86,49,2,97,95,Higher Studies,ML Engineer,74.2,Good,72.5,68.9
Law,Criminal,4,8.55,51,3,1,5,6,73,54,2,7,0,9,68,20,37,79,36,70,89,0,99,77,Placement,Data Analyst,91.0,Excellent,70.0,66.5
B.Com,General,2,7.37,60,4,4,5,6,64,61,1,1,2,5,20,13,87,44,43,74,88,0,92,65,Higher Studies,Business Analyst,92.7,Excellent,52.6,50.0
BCA,General,2,6.58,98,3,3,7,7,73,88,0,6,1,0,52,94,37,33,68,63,84,2,80,81,Government Exam,Software Engineer,100.0,Excellent,78.4,74.5
B.Com,General,1,8.45,97,1,5,6,9,75,90,1,4,3,1,69,7,90,28,49,48,32,1,77,62,Government Exam,Business Analyst,100.0,Excellent,64.3,61.1
Law,Corporate,3,8.69,58,5,2,6,7,68,86,1,2,2,3,0,6,82,68,84,71,43,0,62,81,Entrepreneurship,Data Analyst,100.0,Excellent,56.1,53.3
BBA,Finance,1,6.27,48,7,5,8,7,73,53,0,0,3,2,30,99,100,54,100,46,74,2,51,89,Entrepreneurship,Business Analyst,100.0,Excellent,70.0,66.5
B.Tech,CSE,2,9.43,82,7,4,4,10,68,91,1,6,2,8,44,98,65,24,47,64,89,0,90,88,Higher Studies,Business Analyst,100.0,Excellent,65.3,62.0
BCA,General,3,8.73,88,6,3,8,2,91,97,3,7,4,0,27,82,91,97,32,64,78,0,60,100,Placement,Business Analyst,100.0,Excellent,74.7,71.0
BCA,General,4,9.51,87,3,1,5,5,66,92,0,0,5,6,2,58,48,36,76,35,38,0,68,41,Higher Studies,Software Engineer,100.0,Excellent,34.5,32.8
B.Com,Hons,2,6.86,75,3,0,7,11,97,78,2,0,3,8,86,1,47,88,79,81,83,2,75,93,Placement,ML Engineer,65.9,Average,72.3,68.7
BCA,General,2,9.54,81,6,2,4,11,54,90,2,1,4,8,39,68,73,96,29,72,99,1,82,52,Entrepreneurship,ML Engineer,100.0,Excellent,61.5,58.4
Law,Corporate,3,7.08,93,8,5,7,3,53,54,0,1,5,5,3,43,49,73,84,52,81,0,76,51,Placement,ML Engineer,100.0,Excellent,47.9,45.5
Law,Corporate,2,5.73,86,2,3,4,10,71,60,2,0,4,6,69,65,31,66,26,72,92,1,91,76,Government Exam,Data Analyst,59.8,Average,53.3,50.6
B.Com,General,2,8.78,96,4,2,5,4,59,79,2,7,1,7,75,17,59,68,79,82,81,0,66,79,Government Exam,Data Analyst,100.0,Excellent,74.2,70.5
Law,Corporate,2,8.53,90,8,0,5,11,70,58,2,6,1,2,11,78,80,93,82,96,51,2,45,75,Entrepreneurship,Software Engineer,96.9,Excellent,86.8,82.5
BBA,Finance,2,8.07,71,4,0,4,3,74,98,0,5,0,4,61,15,73,81,45,95,84,0,59,42,Entrepreneurship,Software Engineer,100.0,Excellent,64.3,61.1
B.Com,General,2,7.61,74,2,0,6,9,55,77,1,1,3,3,70,11,76,42,90,63,32,0,93,43,Entrepreneurship,Software Engineer,75.4,Good,51.7,49.1
BBA,Marketing,2,5.64,70,2,5,4,5,79,71,2,1,0,8,91,59,72,35,57,64,31,0,87,70,Higher Studies,Business Analyst,70.6,Good,50.2,47.7
B.Tech,ECE,2,8.19,99,1,4,5,3,78,60,3,1,3,8,89,99,40,100,73,56,88,0,82,80,Placement,Software Engineer,84.2,Good,56.7,53.9
BBA,HR,2,7.29,92,8,2,7,5,60,70,1,3,1,3,47,85,71,26,64,56,57,2,95,67,Higher Studies,Business Analyst,100.0,Excellent,71.1,67.5
B.Tech,AI&DS,4,7.91,94,6,4,8,8,60,55,1,4,1,1,6,91,48,62,77,93,66,0,80,79,Placement,Business Analyst,100.0,Excellent,60.7,57.7
B.Tech,AI&DS,2,7.35,71,5,0,7,8,97,75,2,6,5,0,56,53,32,97,60,68,98,2,61,50,Entrepreneurship,Data Analyst,94.6,Excellent,79.7,75.7
BBA,Marketing,4,9.65,76,4,3,5,2,95,65,2,1,5,2,55,39,33,63,64,89,38,0,62,86,Higher Studies,Business Analyst,100.0,Excellent,47.6,45.2
B.Com,General,4,8.1,71,2,0,7,2,76,63,1,3,1,1,66,42,67,28,53,52,91,2,73,95,Entrepreneurship,Software Engineer,91.7,Excellent,72.9,69.3
Law,Corporate,1,8.72,82,2,4,6,4,68,84,2,3,3,4,12,21,63,90,95,40,61,0,43,82,Higher Studies,ML Engineer,100.0,Excellent,56.9,54.1
Law,Criminal,1,9.53,95,6,0,6,3,71,91,0,1,1,5,51,3,80,97,95,33,64,0,71,55,Higher Studies,Software Engineer,100.0,Excellent,55.8,53.0
B.Tech,IT,4,8.04,76,7,0,4,4,77,85,0,6,0,8,62,75,60,99,77,80,76,0,55,77,Government Exam,ML Engineer,100.0,Excellent,71.9,68.3
B.Tech,ECE,4,5.55,78,5,4,7,5,53,71,2,5,4,3,40,20,66,79,98,67,47,2,43,68,Higher Studies,ML Engineer,86.4,Excellent,79.9,75.9
B.Com,Hons,2,5.65,77,2,4,7,8,86,51,1,3,5,3,74,90,73,29,29,80,65,1,67,54,Entrepreneurship,Data Analyst,81.1,Good,59.8,56.8
BCA,General,1,8.52,69,7,3,5,3,68,62,2,2,3,3,22,22,88,24,36,77,48,2,67,60,Higher Studies,Software Engineer,100.0,Excellent,64.0,60.8
BBA,HR,3,6.7,97,1,4,4,8,66,60,3,3,4,0,46,41,47,70,93,65,54,0,80,53,Entrepreneurship,Business Analyst,68.4,Average,56.4,53.6
B.Tech,CSE,1,7.99,71,5,3,4,6,99,61,0,4,0,2,64,90,54,26,80,54,75,1,61,55,Entrepreneurship,Software Engineer,100.0,Excellent,62.3,59.2
Law,Corporate,4,6.37,84,7,1,7,9,89,82,1,3,2,3,97,40,39,41,30,34,89,2,47,66,Placement,Data Analyst,92.3,Excellent,62.2,59.1
B.Com,Hons,4,6.66,41,1,1,8,9,85,71,3,1,5,0,30,15,98,43,36,98,52,2,65,95,Government Exam,Software Engineer,56.7,Average,70.1,66.6
BBA,HR,2,7.67,90,3,4,7,6,72,58,2,6,1,4,96,95,54,61,94,52,56,0,78,67,Placement,Data Analyst,94.9,Excellent,68.4,65.0
B.Com,Hons,2,9.69,50,4,0,7,11,99,93,0,5,5,9,99,35,80,41,34,43,64,0,69,53,Higher Studies,Business Analyst,100.0,Excellent,58.9,56.0
BBA,HR,1,8.15,98,2,2,7,9,77,56,3,0,5,8,35,16,82,54,23,81,84,2,89,75,Higher Studies,ML Engineer,72.1,Good,65.7,62.4
BBA,Marketing,2,9.53,59,7,0,6,10,60,66,1,6,5,0,13,53,39,74,72,77,65,0,92,49,Higher Studies,Data Analyst,100.0,Excellent,63.3,60.1
B.Tech,ECE,3,9.63,76,5,4,4,8,63,59,0,6,0,6,36,81,78,22,66,86,100,1,48,86,Government Exam,Software Engineer,100.0,Excellent,74.6,70.9
B.Com,Hons,3,6.39,48,1,3,6,7,62,87,2,2,2,1,31,90,67,90,65,62,38,0,65,93,Placement,Business Analyst,68.4,Average,56.1,53.3
B.Com,General,2,6.84,77,4,0,8,8,73,88,2,3,3,9,52,6,75,38,48,67,50,1,81,48,Entrepreneurship,Data Analyst,77.2,Good,60.7,57.7
Law,Corporate,3,8.81,88,8,1,5,8,65,95,0,5,0,8,27,40,99,61,50,94,61,1,98,67,Government Exam,Business Analyst,100.0,Excellent,78.0,74.1
Law,Criminal,3,9.23,58,4,5,8,4,77,74,3,2,3,3,64,61,40,65,92,35,95,0,93,53,Higher Studies,Data Analyst,100.0,Excellent,54.0,51.3
B.Tech,IT,1,7.73,94,8,4,4,7,79,76,0,6,4,2,46,83,45,91,67,50,73,2,50,58,Placement,Business Analyst,100.0,Excellent,78.0,74.1
B.Tech,ECE,3,9.77,79,8,0,5,7,93,79,0,6,4,6,70,56,61,39,75,56,94,1,96,96,Higher Studies,ML Engineer,100.0,Excellent,79.4,75.4
BCA,General,4,5.55,46,2,5,8,10,90,79,0,4,3,5,79,98,31,52,84,98,44,0,64,52,Higher Studies,Data Analyst,90.6,Excellent,56.3,53.5
Law,Corporate,4,6.79,44,7,0,4,2,88,92,3,6,4,9,31,32,87,25,22,35,56,1,73,98,Entrepreneurship,Software Engineer,95.5,Excellent,68.6,65.2
BBA,Marketing,1,8.18,86,8,3,8,8,91,83,0,3,4,7,23,25,67,34,23,69,45,2,66,95,Government Exam,ML Engineer,100.0,Excellent,66.2,62.9
B.Com,General,2,7.52,81,4,3,5,2,76,82,1,3,1,8,13,87,86,88,38,54,75,2,90,90,Higher Studies,ML Engineer,100.0,Excellent,78.0,74.1
B.Tech,CSE,1,6.0,63,2,3,5,11,66,81,2,2,3,6,46,23,100,97,60,98,77,2,49,94,Higher Studies,Data Analyst,64.2,Average,81.8,77.7
B.Com,Hons,2,7.08,87,7,5,8,5,99,91,3,3,3,5,78,30,88,92,41,91,94,1,54,76,Higher Studies,Software Engineer,100.0,Excellent,73.3,69.6
B.Com,Hons,2,5.61,80,8,2,6,8,75,61,1,7,2,7,0,26,86,50,91,75,48,1,89,78,Higher Studies,Business Analyst,96.3,Excellent,81.6,77.5
BCA,General,2,8.26,46,7,5,8,7,56,90,0,6,5,8,91,48,96,25,44,77,66,1,44,91,Placement,Data Analyst,100.0,Excellent,75.5,71.7
Law,Criminal,2,9.34,50,3,4,8,7,84,72,1,3,1,7,18,72,44,20,23,67,87,2,51,100,Higher Studies,Data Analyst,100.0,Excellent,62.5,59.4
B.Tech,AI&DS,2,9.3,48,2,4,8,6,64,78,3,0,0,5,57,65,87,38,72,90,84,0,47,42,Government Exam,Data Analyst,83.1,Good,48.0,45.6
B.Com,Hons,1,8.51,88,6,1,6,8,65,92,2,2,1,7,6,69,32,34,70,46,82,1,45,46,Entrepreneurship,Data Analyst,94.5,Excellent,47.2,44.8
B.Tech,IT,2,7.5,69,8,1,7,10,70,50,3,1,0,8,81,30,87,53,97,77,76,0,63,67,Government Exam,Business Analyst,71.4,Good,58.8,55.9
BBA,Finance,3,7.7,80,1,4,5,7,66,69,0,7,3,5,76,24,56,83,24,62,32,1,40,53,Placement,Software Engineer,100.0,Excellent,68.1,64.7
BCA,General,3,6.09,42,6,0,4,11,94,59,0,6,1,5,63,15,44,68,69,47,91,0,64,93,Higher Studies,Business Analyst,88.8,Excellent,66.4,63.1
BBA,HR,2,6.97,61,7,4,5,8,75,68,2,1,2,1,17,5,89,94,69,65,30,1,84,76,Entrepreneurship,ML Engineer,90.3,Excellent,64.5,61.3
B.Tech,IT,3,6.31,79,7,2,5,10,84,72,3,4,5,8,62,86,32,65,78,83,68,0,86,87,Entrepreneurship,Data Analyst,81.3,Good,62.2,59.1
B.Tech,IT,4,9.03,90,4,1,7,8,69,70,3,0,4,7,67,68,57,70,40,32,62,0,50,91,Entrepreneurship,Business Analyst,82.6,Good,43.3,41.1
Law,Criminal,1,9.43,59,4,1,5,7,69,92,3,2,0,4,49,16,76,92,98,49,52,2,62,61,Government Exam,ML Engineer,87.0,Excellent,74.2,70.5
B.Com,General,1,7.81,71,4,5,5,4,72,84,1,2,4,9,67,8,94,30,42,60,63,2,75,70,Government Exam,Business Analyst,100.0,Excellent,69.7,66.2
B.Com,General,2,8.63,87,7,1,6,2,54,97,2,0,5,2,90,89,82,23,100,50,78,1,79,40,Government Exam,Software Engineer,100.0,Excellent,57.7,54.8
BBA,Marketing,2,6.02,46,2,4,6,11,58,81,3,0,3,8,15,61,49,60,22,63,78,0,46,86,Higher Studies,Business Analyst,53.3,Average,39.2,37.2
BCA,General,4,8.12,99,5,1,6,10,72,59,2,4,3,9,13,12,40,83,69,86,78,2,66,51,Entrepreneurship,Data Analyst,89.1,Excellent,73.1,69.4
B.Com,Hons,2,8.52,46,2,1,6,8,67,51,1,1,3,6,61,6,54,20,73,66,39,0,84,63,Placement,ML Engineer,83.7,Good,45.8,43.5
Law,Corporate,3,7.45,59,1,5,6,4,78,85,3,5,4,8,77,17,92,28,35,30,95,0,60,69,Placement,Software Engineer,91.0,Excellent,60.0,57.0
BBA,Marketing,4,6.55,64,2,4,4,11,60,97,1,2,5,6,6,100,33,58,25,86,100,2,44,93,Entrepreneurship,ML Engineer,84.2,Good,62.1,59.0
BBA,HR,3,9.27,84,4,0,7,10,92,55,0,5,3,7,55,44,83,84,60,84,96,2,72,85,Placement,Business Analyst,100.0,Excellent,88.8,84.4
Law,Corporate,1,8.69,74,3,1,8,4,97,92,0,7,3,9,13,23,89,36,73,60,68,1,96,87,Government Exam,ML Engineer,100.0,Excellent,81.1,77.0
BCA,General,3,9.37,83,1,1,6,4,57,66,0,0,4,4,41,54,57,86,29,52,71,1,55,66,Placement,Software Engineer,100.0,Excellent,50.6,48.1
Law,Corporate,1,9.02,63,6,1,7,8,76,64,2,2,3,9,69,31,39,20,48,77,30,0,50,55,Entrepreneurship,Data Analyst,97.8,Excellent,40.6,38.6
BCA,General,3,9.76,79,3,2,8,3,51,85,3,1,5,9,61,6,65,43,78,49,75,2,93,60,Government Exam,Business Analyst,98.4,Excellent,67.6,64.2
Law,Criminal,1,6.33,52,1,4,5,11,72,73,3,2,0,5,42,19,62,96,100,36,65,0,71,95,Placement,ML Engineer,53.5,Average,60.4,57.4
Law,Corporate,2,5.87,91,1,1,5,8,70,89,1,5,1,7,56,97,88,39,65,31,73,0,89,43,Entrepreneurship,Business Analyst,72.9,Good,61.5,58.4
B.Tech,CSE,3,6.95,87,7,2,7,8,59,78,1,2,0,6,90,18,74,83,97,69,60,0,63,41,Government Exam,ML Engineer,91.5,Excellent,59.1,56.1
BBA,HR,1,6.05,78,4,0,4,2,87,99,0,0,3,0,74,61,80,39,31,53,87,1,48,60,Higher Studies,Software Engineer,93.7,Excellent,51.0,48.4
Law,Criminal,3,7.75,43,7,0,4,11,53,63,2,0,5,9,30,13,75,95,48,38,33,2,75,46,Government Exam,Data Analyst,77.6,Good,60.2,57.2
Law,Criminal,4,8.22,51,8,5,7,3,70,51,2,0,5,3,50,31,42,100,97,72,82,0,46,76,Placement,Data Analyst,100.0,Excellent,51.4,48.8
B.Com,Hons,2,7.99,56,6,5,4,6,86,97,1,1,3,7,66,8,33,59,91,80,86,2,67,46,Government Exam,ML Engineer,100.0,Excellent,65.1,61.8
BBA,HR,1,6.61,40,2,5,4,5,92,71,1,6,3,8,0,99,71,49,68,79,79,0,99,41,Higher Studies,Business Analyst,100.0,Excellent,65.4,62.1
B.Com,Hons,4,9.41,56,7,2,5,4,61,96,3,6,3,5,79,48,56,42,59,51,34,1,62,51,Placement,Data Analyst,100.0,Excellent,65.9,62.6
BBA,Finance,3,5.59,41,8,0,4,11,97,55,3,6,4,3,43,89,37,42,100,39,81,2,78,40,Higher Studies,ML Engineer,71.1,Good,75.7,71.9
B.Com,General,4,7.0,45,6,5,4,9,95,58,1,3,5,1,90,83,75,75,62,96,46,0,52,42,Placement,Business Analyst,100.0,Excellent,58.3,55.4
Law,Corporate,3,8.59,83,4,3,7,8,63,61,3,1,1,8,49,92,37,66,26,33,61,0,90,40,Entrepreneurship,Data Analyst,80.0,Good,39.5,37.5
Law,Corporate,2,8.8,97,4,5,4,10,69,91,1,0,4,0,59,15,55,36,31,59,35,2,46,74,Higher Studies,ML Engineer,100.0,Excellent,52.7,50.1
B.Tech,IT,4,7.29,50,8,0,6,4,96,88,2,4,4,4,2,94,30,21,99,51,98,0,60,55,Placement,Software Engineer,100.0,Excellent,50.1,47.6
B.Com,General,2,5.57,92,7,3,6,11,57,54,0,2,5,7,71,23,90,52,32,70,90,2,99,90,Entrepreneurship,ML Engineer,90.8,Excellent,77.4,73.5
BCA,General,1,8.16,82,4,2,7,2,76,89,1,2,3,3,79,29,68,34,80,45,39,2,99,47,Entrepreneurship,Software Engineer,100.0,Excellent,68.1,64.7
B.Tech,CSE,3,5.77,57,3,3,6,10,86,93,1,7,0,0,53,7,38,51,66,85,52,1,78,60,Higher Studies,Data Analyst,84.9,Good,72.8,69.2
B.Com,Hons,3,5.96,79,6,0,5,10,90,50,3,5,5,3,1,89,56,53,38,98,82,2,52,90,Entrepreneurship,Business Analyst,69.1,Average,75.5,71.7
B.Com,Hons,2,8.3,64,6,1,7,2,70,59,1,2,0,4,28,78,99,79,22,43,90,2,75,44,Entrepreneurship,Data Analyst,100.0,Excellent,69.1,65.6
B.Tech,AI&DS,2,6.84,78,1,3,4,9,97,60,2,6,2,4,15,9,49,50,91,81,48,2,51,95,Placement,Software Engineer,79.7,Good,80.2,76.2
Law,Criminal,1,7.0,67,5,0,6,11,84,76,0,5,5,0,92,35,94,34,59,43,33,0,47,97,Government Exam,Data Analyst,99.4,Excellent,62.8,59.7
B.Com,Hons,4,7.59,85,2,5,5,2,93,72,3,2,1,1,94,23,45,39,31,76,75,2,87,70,Entrepreneurship,Software Engineer,89.2,Excellent,66.7,63.4
Law,Criminal,3,9.71,55,8,1,7,7,88,69,2,4,5,5,58,7,97,50,50,45,61,1,82,98,Higher Studies,Software Engineer,100.0,Excellent,72.7,69.1
B.Tech,IT,3,9.65,51,4,2,7,10,98,54,0,5,2,9,10,0,96,21,54,72,75,2,75,65,Placement,ML Engineer,100.0,Excellent,77.7,73.8
Law,Criminal,1,7.29,80,6,2,4,4,64,62,3,0,4,4,95,73,51,32,85,97,91,0,92,40,Placement,Business Analyst,81.2,Good,50.5,48.0
BBA,Finance,1,6.64,91,6,4,8,7,96,99,2,3,2,8,23,86,85,35,46,66,83,1,100,62,Entrepreneurship,ML Engineer,99.4,Excellent,65.5,62.2
BCA,General,2,6.8,68,1,2,6,4,61,59,1,6,2,6,82,73,86,34,22,43,96,2,86,52,Entrepreneurship,ML Engineer,85.8,Excellent,79.6,75.6
B.Com,Hons,2,6.66,62,8,4,5,6,83,98,3,2,5,4,31,32,83,44,67,70,53,0,97,71,Government Exam,Software Engineer,98.0,Excellent,56.7,53.9
BCA,General,4,7.79,60,2,2,7,8,57,85,1,5,2,8,73,30,37,95,40,53,95,2,83,44,Higher Studies,ML Engineer,91.6,Excellent,76.3,72.5
Law,Corporate,1,8.11,55,5,2,6,11,86,90,3,3,1,0,53,76,36,47,71,48,47,2,62,59,Placement,Business Analyst,82.0,Good,63.6,60.4
B.Com,General,4,7.6,92,5,2,5,5,79,99,0,5,5,2,55,61,30,31,26,41,77,1,73,90,Placement,Software Engineer,100.0,Excellent,60.2,57.2
Law,Corporate,1,7.25,90,4,4,5,5,52,65,3,7,0,1,95,34,83,95,70,76,75,2,94,67,Government Exam,Business Analyst,86.6,Excellent,97.4,92.5
BBA,Marketing,3,6.41,87,5,5,7,8,79,56,3,1,0,6,86,43,41,73,64,41,77,2,62,46,Government Exam,Business Analyst,71.9,Good,61.8,58.7
B.Tech,ECE,1,7.57,80,5,4,6,6,78,81,2,1,2,8,96,46,43,77,65,32,91,1,77,99,Higher Studies,ML Engineer,95.4,Excellent,62.1,59.0
B.Com,General,1,6.97,84,7,3,5,2,50,74,3,6,5,1,93,31,48,35,52,59,56,0,68,97,Higher Studies,ML Engineer,100.0,Excellent,63.1,59.9
BBA,Marketing,3,7.83,65,2,0,7,11,65,93,0,2,1,5,93,62,48,81,55,87,91,2,89,52,Entrepreneurship,Software Engineer,84.6,Good,74.0,70.3
BBA,HR,1,8.4,76,8,0,6,3,91,75,2,7,0,1,70,21,57,93,36,75,94,2,63,71,Entrepreneurship,ML Engineer,100.0,Excellent,87.0,82.6
B.Com,General,4,8.22,61,2,5,6,7,80,85,1,0,3,2,79,6,44,29,25,80,81,2,61,85,Government Exam,Software Engineer,100.0,Excellent,57.8,54.9
Law,Criminal,2,7.49,90,7,0,7,10,59,77,3,4,5,0,42,5,92,85,40,44,30,1,51,57,Higher Studies,Business Analyst,82.3,Good,64.5,61.3
BBA,Marketing,2,7.89,49,4,2,6,8,79,93,0,5,5,5,52,40,52,71,57,72,79,2,55,85,Entrepreneurship,Data Analyst,100.0,Excellent,78.7,74.8
BCA,General,4,6.72,46,6,5,8,5,92,61,0,2,0,1,0,79,72,49,53,51,69,0,40,84,Government Exam,Software Engineer,100.0,Excellent,47.6,45.2
BBA,HR,3,5.6,48,1,0,5,3,75,75,3,1,0,2,93,11,39,35,68,38,46,1,90,47,Government Exam,Software Engineer,46.2,At Risk,51.3,48.7
Law,Corporate,1,8.19,64,4,4,5,5,61,53,3,7,1,5,97,72,65,29,80,68,30,2,69,68,Placement,ML Engineer,93.8,Excellent,83.4,79.2
Law,Criminal,4,6.59,85,3,3,6,6,89,93,1,1,1,5,60,39,92,34,77,97,59,1,75,59,Entrepreneurship,Data Analyst,88.8,Excellent,63.6,60.4
BCA,General,2,8.38,54,5,1,7,3,54,72,1,5,0,3,33,68,78,45,95,86,96,1,81,65,Higher Studies,Data Analyst,100.0,Excellent,77.6,73.7
BBA,Finance,2,8.71,52,7,3,4,2,58,89,1,5,3,0,60,57,43,80,31,97,51,2,81,57,Placement,Business Analyst,100.0,Excellent,76.2,72.4
Law,Criminal,4,9.44,81,1,0,6,5,60,73,1,7,3,6,60,2,63,34,37,36,64,0,63,85,Government Exam,Business Analyst,100.0,Excellent,62.1,59.0
B.Com,General,2,9.62,85,6,5,4,7,96,80,1,7,2,1,94,99,68,25,81,31,85,2,78,100,Entrepreneurship,Software Engineer,100.0,Excellent,87.9,83.5
B.Tech,CSE,4,5.55,65,6,0,6,2,72,79,1,5,2,5,7,42,61,100,25,83,43,1,77,41,Entrepreneurship,Business Analyst,90.3,Excellent,66.0,62.7
B.Tech,ECE,2,9.76,60,2,4,4,2,66,52,2,6,0,6,53,73,51,20,96,66,74,2,71,82,Government Exam,ML Engineer,100.0,Excellent,80.9,76.9
B.Tech,AI&DS,4,8.44,62,3,3,6,10,92,65,2,3,0,1,52,7,64,54,67,57,62,1,97,86,Higher Studies,Business Analyst,87.2,Excellent,67.9,64.5
BBA,Marketing,1,8.27,83,8,4,7,6,62,83,0,4,0,5,19,72,52,20,30,88,41,2,93,81,Higher Studies,Business Analyst,100.0,Excellent,68.6,65.2
BCA,General,1,5.57,67,6,4,4,3,66,87,2,5,5,0,45,12,54,57,52,75,53,2,71,88,Government Exam,Business Analyst,97.9,Excellent,77.3,73.4
Law,Criminal,1,9.2,90,3,1,8,3,72,77,3,6,3,5,92,55,98,99,40,92,98,2,100,97,Entrepreneurship,Business Analyst,100.0,Excellent,100.0,95.0
B.Com,General,1,6.13,77,5,4,7,5,88,98,3,7,4,7,30,18,35,60,43,64,86,0,51,63,Entrepreneurship,Data Analyst,96.3,Excellent,59.7,56.7
B.Com,Hons,2,9.1,51,2,4,6,3,58,93,3,5,2,7,84,22,89,31,74,87,38,0,49,82,Government Exam,Business Analyst,100.0,Excellent,65.4,62.1
BBA,HR,3,5.57,63,1,1,4,5,67,90,0,2,2,6,25,42,35,83,68,42,31,0,96,47,Higher Studies,Software Engineer,76.8,Good,47.1,44.7
B.Tech,ECE,4,8.28,52,2,2,5,7,67,97,2,0,4,3,94,23,48,29,28,100,88,0,51,61,Government Exam,Business Analyst,84.9,Good,42.1,40.0
BBA,HR,3,7.37,79,5,2,7,8,79,56,3,3,0,3,62,2,48,46,57,35,58,2,52,73,Higher Studies,ML Engineer,74.2,Good,64.4,61.2
BCA,General,2,6.36,87,7,5,4,7,91,57,2,7,2,4,19,96,41,58,24,74,84,0,54,71,Placement,Business Analyst,100.0,Excellent,59.8,56.8
BCA,General,2,5.96,41,6,1,7,5,93,56,3,4,3,7,21,86,42,90,60,34,51,2,99,74,Placement,Business Analyst,74.1,Good,73.4,69.7
Law,Criminal,3,7.39,93,3,5,4,11,75,86,1,3,4,3,56,13,79,89,53,67,78,1,69,64,Entrepreneurship,Software Engineer,99.4,Excellent,69.2,65.7
Law,Criminal,3,6.03,78,7,5,5,4,67,56,2,6,3,8,56,82,96,64,93,73,41,1,92,46,Entrepreneurship,Data Analyst,100.0,Excellent,81.0,77.0
BCA,General,2,7.59,51,5,4,8,5,70,99,2,7,5,2,25,32,60,30,82,54,100,0,52,53,Government Exam,ML Engineer,100.0,Excellent,63.3,60.1
BCA,General,2,8.19,78,6,5,5,6,90,67,3,5,0,8,16,86,52,43,36,44,37,0,90,83,Entrepreneurship,Data Analyst,100.0,Excellent,54.5,51.8
BCA,General,4,9.06,90,4,0,6,5,90,97,2,0,2,1,88,26,99,76,72,68,45,2,87,68,Government Exam,Software Engineer,96.5,Excellent,73.7,70.0
BBA,Marketing,1,8.42,53,8,3,7,4,91,88,1,5,3,5,100,11,87,59,55,77,69,2,82,76,Higher Studies,Data Analyst,100.0,Excellent,86.6,82.3
BCA,General,1,5.78,69,3,0,8,2,82,70,3,7,4,4,26,45,96,56,55,81,74,1,40,76,Entrepreneurship,ML Engineer,74.5,Good,78.3,74.4
B.Com,General,4,6.82,80,5,0,7,4,92,83,1,1,0,4,66,70,100,22,32,89,93,2,57,46,Higher Studies,Data Analyst,87.8,Excellent,65.7,62.4
B.Tech,IT,3,6.74,89,1,4,4,6,63,98,3,6,2,5,55,99,39,87,39,52,92,0,78,72,Entrepreneurship,Data Analyst,79.5,Good,63.9,60.7
BCA,General,2,9.43,82,1,3,6,7,59,76,2,5,2,9,23,45,97,87,70,98,80,0,51,56,Placement,ML Engineer,98.3,Excellent,69.7,66.2
B.Tech,AI&DS,3,9.23,87,6,5,6,5,77,57,3,2,0,6,24,81,73,20,35,81,39,2,89,58,Government Exam,Software Engineer,100.0,Excellent,63.2,60.0
BBA,Finance,1,7.09,58,6,3,7,2,63,83,0,2,0,3,9,15,99,98,25,51,100,1,83,64,Entrepreneurship,Business Analyst,100.0,Excellent,66.4,63.1
