degree,branch,year,cgpa,attendance,study_hours,self_learning_hours,sleep_hours,screen_time,assignment_score,internal_marks,backlogs,projects_count,hackathons_count,certifications_count,github_activity_score,linkedin_activity_score,programming_score,sql_score,dsa_score,communication_score,aptitude_score,internships_count,resume_score,ats_score,goal,target_role,academic_score,academic_category,employability_score,placement_probability,sector
B.Tech,CSE,3,7.27,68,3.7,2.7,7.3,5.7,91,89,1,5,2,5,85,80,90,70,41,88,80,1,82,88,Placement,Business Analyst,62.8,Average,74.5,66.7,Tech
BCA,General,1,8.13,76,5.7,1.8,7.7,6.1,100,100,0,4,3,4,54,74,72,56,56,48,58,0,50,68,Startup,Data Engineer,81.2,Good,52.2,62.5,Tech
BCA,General,1,7.32,68,2.8,2.2,7.1,7.7,77,80,1,3,1,2,72,40,65,57,63,68,62,0,42,47,Placement,Full Stack Developer,51.8,At Risk,37.4,40.7,Tech
B.Tech,AI&DS,4,6.52,46,2.5,0.0,6.4,10.1,74,74,1,0,0,0,14,35,51,23,23,61,53,0,35,54,Placement,QA Engineer,42.9,At Risk,21.3,31.9,Tech
B.Com,Hons,3,8.14,72,6.1,1.0,6.3,2.6,100,100,0,4,3,2,62,20,64,71,74,48,52,1,64,72,Higher Studies,Product Manager,79.1,Good,61.0,52.6,Commerce
BCA,General,2,8.05,84,5.5,1.1,6.7,5.1,94,90,1,1,3,3,70,48,44,66,33,64,59,0,48,61,Startup,Business Analyst,70.9,Average,33.6,41.5,Tech
BCA,General,2,7.56,62,3.8,3.0,6.2,6.8,82,84,0,0,3,2,75,64,57,71,62,81,77,0,46,63,Placement,UI/UX Designer,65.2,Average,41.4,55.8,Tech
Law,Criminal,2,6.36,65,2.3,2.4,7.5,5.7,76,76,1,5,2,4,57,19,67,57,48,65,53,1,73,76,Startup,Product Manager,46.6,At Risk,64.0,50.0,Law
BCA,General,1,8.14,90,5.5,2.7,8.2,5.0,100,98,0,5,3,6,88,69,73,60,54,49,73,1,60,71,Research,Software Engineer,84.0,Good,66.8,38.4,Tech
BBA,Marketing,1,8.03,84,5.8,2.2,6.3,5.5,100,100,0,6,3,5,53,65,74,53,66,56,60,0,66,78,Higher Studies,Business Analyst,81.4,Good,58.5,62.9,Management
B.Tech,ECE,4,8.18,87,5.3,2.7,7.0,2.7,100,92,1,7,3,6,80,59,55,82,75,68,76,2,87,72,Higher Studies,Data Analyst,75.4,Good,85.0,75.9,Tech
BBA,Finance,1,7.59,58,1.7,1.7,5.8,6.5,81,78,2,4,5,0,50,69,72,66,56,67,74,1,66,81,Placement,UI/UX Designer,47.0,At Risk,65.3,53.0,Management
B.Tech,CSE,3,7.92,67,4.0,1.9,6.4,8.1,83,87,0,2,4,4,69,41,49,67,50,68,89,1,56,76,Higher Studies,Backend Developer,69.8,Average,53.6,53.7,Tech
B.Tech,AI&DS,3,7.87,72,5.2,2.5,7.1,5.7,93,94,1,5,5,6,68,65,88,63,56,64,66,2,89,83,Higher Studies,Backend Developer,68.3,Average,81.0,79.5,Tech
Law,Corporate,3,7.79,78,6.3,3.7,8.0,2.0,97,90,0,4,3,5,59,28,55,66,60,60,59,1,71,90,Higher Studies,Business Analyst,71.7,Average,70.0,62.4,Law
BBA,HR,2,7.56,91,4.6,4.6,7.3,4.9,94,92,0,7,3,5,90,63,73,84,55,70,86,2,98,89,Placement,Business Analyst,78.0,Good,83.5,60.2,Management
B.Tech,IT,1,7.32,69,3.4,2.7,6.5,6.6,90,88,1,5,3,4,82,72,76,70,58,58,67,2,89,74,Placement,Software Engineer,60.5,Average,81.4,82.8,Tech
B.Tech,IT,3,7.77,73,4.2,1.5,6.7,7.0,79,83,4,5,4,4,62,70,65,67,63,89,71,1,64,72,Placement,Business Analyst,45.3,At Risk,67.8,88.5,Tech
B.Tech,AI&DS,4,7.1,78,6.4,3.2,6.4,5.1,83,89,1,8,5,6,78,43,88,75,35,51,51,1,72,86,Freelancing,Cybersecurity Analyst,62.2,Average,81.3,67.0,Tech
BCA,General,2,7.38,74,4.5,3.1,6.3,4.4,91,85,1,7,3,4,66,69,84,45,59,58,59,1,65,76,Startup,QA Engineer,63.0,Average,72.8,50.3,Tech
B.Com,Hons,1,7.38,67,4.5,2.6,7.4,7.8,92,80,0,4,2,4,49,52,66,69,29,61,59,0,39,67,Placement,Product Manager,67.3,Average,48.8,55.4,Commerce
Law,Corporate,2,7.99,79,6.4,1.9,7.8,3.5,96,100,0,6,2,3,76,75,85,56,53,72,65,2,83,75,Government Job,Data Analyst,79.2,Good,81.5,77.9,Law
B.Com,General,1,8.2,68,5.6,1.9,6.3,5.6,97,93,1,3,3,3,67,17,73,69,62,74,69,1,69,67,Research,Business Analyst,69.6,Average,72.3,48.2,Commerce
BBA,HR,2,7.56,76,4.3,1.4,7.1,4.0,91,89,3,4,0,5,48,61,59,46,20,51,72,1,79,74,Placement,Product Manager,47.8,At Risk,49.8,36.3,Management
BBA,Marketing,3,7.79,68,5.6,2.2,7.4,7.6,100,97,1,2,0,4,49,57,62,79,62,71,82,1,52,65,Government Job,UI/UX Designer,74.4,Average,51.2,34.5,Management
B.Tech,AI&DS,2,9.07,89,7.0,3.4,8.1,4.2,100,100,0,6,5,5,99,63,73,83,67,56,70,0,65,69,Research,Data Scientist,86.7,Good,76.2,55.4,Tech
Law,Criminal,2,7.32,78,4.1,0.0,7.3,6.4,88,91,3,0,0,0,35,44,20,45,46,67,44,0,35,56,Research,Business Analyst,48.8,At Risk,20.3,18.9,Law
BBA,Finance,3,8.14,66,5.6,1.0,6.4,7.6,92,94,1,2,3,3,49,31,76,66,54,70,75,0,56,66,Placement,UI/UX Designer,70.0,Average,53.1,44.4,Management
B.Tech,AI&DS,1,6.76,54,1.8,2.1,6.7,6.4,77,73,2,2,4,4,70,37,65,33,55,57,51,1,42,79,Placement,Frontend Developer,41.8,At Risk,50.1,47.1,Tech
B.Tech,ECE,1,6.86,71,3.8,2.8,7.2,4.8,88,86,1,4,3,5,77,59,64,76,55,49,58,0,58,67,Placement,Machine Learning Engineer,59.4,Average,51.7,33.2,Tech
B.Com,Hons,4,7.12,62,3.6,1.2,6.0,5.9,93,83,3,3,4,1,50,77,60,56,52,82,72,2,67,83,Research,Product Manager,47.3,At Risk,62.7,61.4,Commerce
B.Tech,AI&DS,4,8.64,70,6.0,2.2,6.6,5.2,97,96,0,7,4,5,58,60,78,76,71,46,63,3,74,97,Higher Studies,AI Engineer,84.3,Good,89.3,87.3,Tech
B.Tech,ECE,4,8.68,92,6.0,5.1,7.4,4.0,95,95,0,8,4,7,87,82,66,61,41,71,78,2,84,86,Startup,UI/UX Designer,87.4,Good,84.7,50.0,Tech
BCA,General,3,8.72,75,6.7,2.0,6.4,5.1,100,100,1,5,4,3,64,45,76,72,76,65,78,1,60,79,Startup,Full Stack Developer,85.8,Good,75.3,58.5,Tech
B.Tech,AI&DS,2,8.76,96,6.4,3.8,7.5,5.9,100,100,0,6,4,7,70,66,71,78,48,77,89,1,80,83,Government Job,UI/UX Designer,87.1,Good,78.8,62.6,Tech
B.Tech,IT,1,7.74,76,5.4,3.0,6.0,4.2,96,95,1,5,3,4,60,44,64,68,67,64,54,0,67,81,Higher Studies,Machine Learning Engineer,70.5,Average,72.3,51.0,Tech
B.Com,Hons,2,7.5,61,4.3,0.8,7.3,8.3,91,87,1,2,1,2,52,45,82,47,52,69,72,1,49,67,Government Job,Business Analyst,59.4,Average,48.0,45.9,Commerce
B.Tech,CSE,1,7.29,72,4.1,2.2,6.0,7.1,86,87,2,5,3,4,21,39,79,65,64,51,61,0,59,73,Freelancing,Backend Developer,53.2,At Risk,57.8,41.0,Tech
BBA,Finance,2,7.34,84,4.8,4.4,6.5,2.9,97,91,1,4,5,4,84,57,78,72,85,44,43,1,63,76,Higher Studies,Data Analyst,69.3,Average,64.9,64.2,Management
B.Com,Hons,2,7.71,72,3.5,0.0,7.9,6.9,92,89,2,1,0,2,13,52,48,51,52,67,94,0,50,57,Placement,Business Analyst,60.9,Average,29.5,32.6,Commerce
B.Com,General,1,6.3,77,4.4,2.2,6.4,7.0,88,86,2,5,1,5,61,38,86,48,55,62,64,0,49,72,Startup,Business Analyst,47.6,At Risk,54.0,35.1,Commerce
B.Tech,CSE,1,7.55,74,4.4,3.5,6.3,7.4,95,92,1,4,3,5,70,57,85,53,58,80,76,0,61,72,Higher Studies,UI/UX Designer,65.2,Average,57.4,58.5,Tech
B.Tech,IT,3,8.71,86,5.8,2.7,7.6,7.9,98,100,0,5,4,5,73,40,89,65,58,55,72,2,70,71,Research,Data Engineer,87.6,Good,77.1,64.7,Tech
B.Tech,CSE,1,7.5,73,3.1,3.2,5.8,4.2,88,89,1,4,4,5,54,52,91,77,65,66,62,0,61,87,Placement,DevOps Engineer,64.3,Average,70.0,74.1,Tech
B.Tech,AI&DS,1,7.05,83,3.5,4.9,6.9,4.8,89,87,2,8,5,8,91,45,92,88,61,54,57,1,82,91,Higher Studies,Backend Developer,61.9,Average,92.2,73.1,Tech
B.Tech,AI&DS,1,8.14,72,4.6,1.0,7.6,6.7,96,93,1,1,0,2,39,61,58,57,50,57,64,0,60,44,Research,Business Analyst,72.0,Average,37.6,37.1,Tech
B.Tech,AI&DS,4,7.02,62,3.6,1.4,6.3,6.5,87,86,4,3,2,1,57,49,60,49,34,62,62,0,52,65,Higher Studies,Data Scientist,38.6,At Risk,30.5,61.5,Tech
Law,Corporate,3,6.97,59,1.9,2.7,6.6,8.5,80,73,2,3,3,3,83,48,60,58,53,66,39,1,61,89,Placement,Business Analyst,43.5,At Risk,52.9,52.5,Law
BCA,General,2,6.94,61,2.8,3.5,6.5,8.2,84,81,2,3,3,5,71,38,60,56,56,65,69,1,70,76,Higher Studies,Data Engineer,48.9,At Risk,53.3,59.3,Tech
Law,Criminal,1,8.82,82,4.5,2.6,7.9,7.2,99,100,0,3,2,2,80,47,54,79,67,50,76,1,38,72,Higher Studies,Data Analyst,84.5,Good,54.4,59.4,Law
B.Tech,IT,2,7.93,79,5.5,3.4,6.6,5.8,95,95,0,6,4,5,87,79,79,75,74,57,66,2,90,73,Freelancing,Product Manager,74.4,Average,78.3,61.1,Tech
B.Com,Hons,1,6.36,54,3.8,1.5,6.3,3.1,86,81,3,2,3,2,28,59,72,48,62,61,48,0,50,66,Placement,Data Analyst,37.2,At Risk,36.0,39.1,Commerce
Law,Corporate,2,7.38,68,3.2,2.6,6.8,6.0,79,90,2,5,2,5,68,78,60,72,82,66,73,1,69,86,Placement,Product Manager,52.5,At Risk,72.9,48.7,Law
B.Tech,IT,2,6.81,66,2.1,2.0,7.1,5.1,81,77,2,5,2,3,100,28,54,60,57,41,38,1,51,77,Research,QA Engineer,44.7,At Risk,52.1,70.6,Tech
Law,Corporate,1,8.63,79,6.7,2.0,7.7,4.9,100,100,0,3,2,3,74,56,62,76,78,85,79,1,71,70,Higher Studies,Product Manager,83.6,Good,67.5,45.1,Law
B.Tech,CSE,3,7.21,77,4.5,3.1,6.5,9.8,90,82,0,6,4,3,89,65,65,89,49,72,79,2,81,74,Placement,UI/UX Designer,72.0,Average,78.9,54.1,Tech
BBA,HR,2,8.21,79,3.3,2.5,7.1,3.7,90,94,0,5,3,4,53,53,94,67,79,56,63,2,100,93,Placement,Data Analyst,77.7,Good,91.4,58.8,Management
BCA,General,1,7.47,84,6.1,4.2,6.5,4.7,97,90,1,6,5,8,99,53,69,55,69,47,69,2,80,81,Freelancing,Cloud Engineer,72.4,Average,80.0,87.3,Tech
BBA,HR,1,7.35,91,4.5,4.5,7.6,5.1,99,100,0,8,4,6,59,79,86,56,78,85,75,1,73,95,Government Job,UI/UX Designer,76.6,Good,90.2,79.7,Management
B.Tech,ECE,2,8.82,88,7.8,4.7,6.8,4.5,100,100,0,7,5,9,76,91,91,87,76,80,87,1,91,93,Government Job,Business Analyst,87.7,Good,91.3,66.9,Tech
B.Tech,CSE,4,6.38,78,4.7,2.0,8.0,5.3,83,78,2,3,1,5,58,45,51,58,53,54,55,0,56,82,Placement,Product Manager,46.6,At Risk,45.0,40.1,Tech
BCA,General,1,6.63,63,2.9,1.8,7.6,6.8,82,77,3,2,1,2,60,56,70,70,39,58,54,1,51,71,Placement,UI/UX Designer,38.9,At Risk,38.6,70.1,Tech
B.Tech,IT,3,8.17,76,4.1,3.3,6.8,6.3,86,92,1,5,4,6,85,62,64,68,61,90,63,2,72,90,Government Job,Product Manager,68.1,Average,73.6,60.5,Tech
B.Com,General,2,8.14,80,5.2,1.8,6.1,5.3,100,96,0,2,2,1,41,69,54,48,43,82,70,0,60,65,Research,Business Analyst,79.0,Good,45.0,44.7,Commerce
BCA,General,2,8.88,84,5.0,1.8,7.4,4.0,97,95,0,5,2,5,65,44,63,76,45,67,77,0,64,76,Research,Business Analyst,86.4,Good,64.3,47.9,Tech
B.Tech,AI&DS,4,8.64,86,5.4,3.1,7.8,4.3,98,92,0,5,3,7,67,54,72,77,59,80,73,3,83,83,Higher Studies,Data Engineer,84.3,Good,80.6,97.7,Tech
BBA,HR,3,9.55,97,7.0,3.9,6.4,4.7,100,100,0,7,5,6,82,80,72,86,60,71,73,2,89,88,Research,Data Analyst,93.1,Excellent,88.4,63.4,Management
BBA,HR,2,8.07,94,4.9,3.9,7.2,2.4,100,98,0,4,3,4,64,57,68,83,40,69,56,1,79,77,Startup,Business Analyst,82.1,Good,75.0,45.6,Management
BBA,Finance,2,7.24,66,3.6,2.5,6.6,5.3,85,77,1,4,3,6,52,80,51,64,45,63,61,1,83,75,Government Job,Product Manager,55.0,At Risk,67.5,61.4,Management
BCA,General,4,8.19,79,4.6,4.0,5.7,5.5,97,88,0,8,6,7,85,54,89,78,77,68,64,2,96,100,Placement,Cloud Engineer,78.7,Good,96.2,81.4,Tech
BBA,Finance,4,8.39,62,4.0,3.0,5.7,6.7,91,91,2,5,0,2,75,56,63,65,63,67,62,2,75,81,Higher Studies,Business Analyst,59.6,Average,70.0,55.3,Management
Law,Criminal,2,8.71,82,6.4,2.4,7.1,6.9,100,100,0,4,3,4,72,46,88,70,72,65,75,1,49,86,Research,Business Analyst,85.4,Good,72.2,46.4,Law
B.Tech,CSE,2,7.12,62,1.1,2.3,5.1,7.1,81,75,4,4,3,1,71,28,80,86,46,48,47,0,60,74,Higher Studies,Cloud Engineer,35.4,At Risk,58.2,31.3,Tech
B.Com,General,2,7.26,53,2.4,2.0,6.7,7.8,73,78,1,3,2,2,74,40,64,62,43,64,56,1,67,71,Placement,Data Analyst,50.5,At Risk,50.7,39.2,Commerce
BBA,Finance,1,8.49,85,5.3,3.6,6.1,5.5,98,94,0,6,3,5,50,69,94,47,85,55,56,0,69,78,Research,Data Analyst,80.8,Good,68.6,75.6,Management
B.Tech,ECE,4,7.61,75,4.7,3.1,6.9,5.7,96,96,1,3,4,4,60,58,75,49,53,60,70,2,72,76,Research,Cybersecurity Analyst,67.0,Average,65.6,43.4,Tech
B.Tech,IT,1,7.87,66,3.5,1.6,6.9,6.4,92,92,1,4,4,1,62,67,68,69,39,90,86,1,70,64,Placement,UI/UX Designer,65.2,Average,53.5,68.6,Tech
BCA,General,1,7.76,75,5.1,2.2,6.7,7.3,99,84,2,4,3,5,82,52,79,49,58,69,71,2,78,97,Higher Studies,Data Engineer,62.7,Average,75.6,92.0,Tech
B.Tech,IT,1,7.78,75,5.8,3.0,5.5,5.8,88,92,1,5,4,5,58,80,76,53,80,67,65,1,62,73,Startup,Data Scientist,69.8,Average,66.7,73.2,Tech
B.Tech,CSE,4,7.13,77,3.4,2.6,5.4,5.7,88,85,1,7,4,5,92,64,95,58,54,63,66,1,74,73,Higher Studies,Full Stack Developer,59.8,Average,77.5,67.4,Tech
B.Tech,IT,4,7.8,73,3.8,3.8,7.4,6.3,84,79,2,6,6,4,63,54,84,54,42,81,62,2,73,100,Startup,Product Manager,53.5,At Risk,74.8,83.0,Tech
BBA,Marketing,3,8.45,82,6.8,3.5,6.5,5.5,100,100,0,5,4,6,63,72,68,52,54,82,78,1,76,78,Government Job,UI/UX Designer,88.7,Good,75.5,76.9,Management
BBA,Marketing,2,7.35,75,3.7,2.3,6.6,9.1,83,81,4,2,3,5,66,54,54,57,68,56,57,0,54,63,Research,UI/UX Designer,42.0,At Risk,38.3,29.6,Management
B.Tech,AI&DS,3,7.52,69,5.5,0.8,6.5,3.2,88,87,0,2,2,2,50,59,65,37,54,84,74,1,66,64,Higher Studies,Frontend Developer,69.2,Average,49.7,58.9,Tech
B.Com,General,2,6.83,79,5.1,1.8,8.2,7.5,87,82,1,4,3,3,70,55,71,62,49,69,66,1,78,70,Government Job,Business Analyst,59.2,Average,68.3,46.7,Commerce
B.Tech,IT,4,7.5,87,3.8,6.0,7.7,5.2,96,95,1,10,7,10,100,63,97,71,70,60,62,2,96,98,Research,Backend Developer,68.5,Average,94.1,57.4,Tech
B.Tech,CSE,3,7.04,77,5.2,4.1,6.5,6.4,100,90,0,6,4,6,85,63,72,66,54,51,59,0,73,87,Placement,Data Scientist,71.1,Average,77.0,73.5,Tech
B.Tech,AI&DS,4,8.19,83,5.5,2.9,6.2,3.9,94,92,0,4,2,5,88,70,95,69,68,63,68,1,67,87,Freelancing,Data Scientist,79.7,Good,80.9,55.8,Tech
B.Tech,IT,3,7.22,70,4.0,1.2,6.7,8.8,81,88,4,2,1,0,43,49,69,58,50,62,57,0,47,88,Placement,Cloud Engineer,42.6,At Risk,26.7,44.7,Tech
B.Tech,ECE,3,8.14,72,3.0,3.7,6.7,7.3,89,89,3,5,4,4,72,44,86,88,62,68,70,2,72,76,Higher Studies,UI/UX Designer,55.7,Average,66.1,48.7,Tech
B.Com,Hons,3,7.52,77,5.0,2.4,7.8,4.6,99,90,0,2,1,2,63,90,72,70,50,74,70,1,48,56,Government Job,Business Analyst,65.8,Average,32.8,51.3,Commerce
B.Com,General,3,7.94,96,5.0,3.2,7.2,4.6,100,88,0,6,2,6,85,58,54,67,60,61,60,2,85,84,Higher Studies,Product Manager,79.5,Good,79.8,71.5,Commerce
BCA,General,4,6.56,62,2.4,0.0,7.0,5.4,82,86,2,0,0,0,58,60,42,40,36,51,61,0,35,61,Startup,Frontend Developer,44.8,At Risk,22.1,31.4,Tech
BCA,General,3,7.25,66,5.0,2.4,6.8,7.2,98,95,3,5,2,4,59,29,64,47,63,47,57,1,73,84,Placement,Full Stack Developer,55.8,Average,55.1,46.3,Tech
BCA,General,2,7.54,64,5.6,1.5,6.1,7.7,88,91,0,4,2,4,75,86,58,75,34,81,65,1,66,82,Placement,Backend Developer,70.6,Average,61.9,51.1,Tech
B.Tech,AI&DS,2,7.88,72,4.5,4.4,6.8,4.9,89,94,1,6,3,4,92,60,76,76,74,62,62,1,74,96,Higher Studies,AI Engineer,74.7,Average,76.1,66.5,Tech
B.Tech,AI&DS,1,9.8,73,6.9,4.9,7.5,7.9,100,100,0,6,5,6,90,26,82,100,91,67,59,1,64,96,Startup,Machine Learning Engineer,97.1,Excellent,84.9,61.1,Tech
Law,Corporate,4,7.31,49,3.1,3.3,6.4,9.3,86,71,1,5,5,4,87,49,82,58,81,57,48,1,55,83,Startup,Data Analyst,56.5,Average,70.0,44.5,Law
BCA,General,2,7.73,83,6.1,2.2,6.6,5.4,100,98,0,7,5,6,71,48,77,74,75,66,85,1,71,96,Higher Studies,Cybersecurity Analyst,81.0,Good,85.0,75.2,Tech
B.Tech,ECE,1,8.44,94,7.3,5.1,8.9,3.3,100,98,0,7,4,6,93,61,79,87,63,54,75,1,71,93,Freelancing,QA Engineer,84.8,Good,81.9,70.4,Tech
B.Tech,ECE,3,8.34,84,5.7,3.1,6.4,3.5,96,100,0,6,3,7,67,54,79,78,67,54,55,1,74,95,Research,Software Engineer,84.8,Good,85.8,79.1,Tech
BBA,Finance,4,8.12,78,5.7,3.6,5.9,4.6,93,100,0,7,5,4,73,51,75,86,51,62,69,2,72,91,Placement,Data Analyst,81.3,Good,85.0,76.8,Management
B.Tech,IT,4,7.23,72,5.0,2.1,6.9,5.6,83,88,2,3,3,3,62,64,53,63,57,54,64,1,58,52,Research,Business Analyst,53.0,At Risk,45.2,35.6,Tech
B.Tech,AI&DS,4,7.33,77,5.4,0.0,7.0,6.8,96,96,0,0,0,0,36,44,67,41,62,62,62,0,35,65,Higher Studies,Business Analyst,73.0,Average,45.0,43.5,Tech
B.Tech,CSE,4,6.02,62,1.0,1.1,6.8,7.0,71,71,3,1,3,3,49,42,58,57,24,89,54,1,44,73,Placement,Product Manager,29.2,At Risk,45.0,41.0,Tech
B.Tech,CSE,1,7.23,65,3.1,2.3,6.3,7.8,81,71,0,5,4,5,55,67,55,79,30,60,73,1,74,71,Placement,AI Engineer,58.4,Average,64.2,44.9,Tech
BBA,HR,2,7.42,70,4.6,2.4,8.1,5.5,90,93,4,2,2,3,74,65,85,75,80,78,68,2,74,92,Placement,UI/UX Designer,45.5,At Risk,74.8,65.1,Management
B.Tech,CSE,3,6.98,75,3.0,3.0,6.8,6.0,85,80,0,4,3,3,100,56,77,89,57,53,42,2,75,81,Higher Studies,Machine Learning Engineer,62.4,Average,73.6,60.6,Tech
B.Tech,CSE,3,7.32,78,3.9,1.6,7.5,6.1,82,88,0,1,1,3,87,51,62,63,34,44,52,1,54,54,Placement,Data Engineer,67.1,Average,45.0,50.7,Tech
Law,Criminal,2,7.95,73,3.7,3.3,6.4,7.2,88,89,1,3,4,6,66,42,49,65,51,58,58,0,56,84,Placement,Cybersecurity Analyst,65.4,Average,49.3,43.6,Law
B.Tech,CSE,1,7.3,81,3.8,5.0,6.9,5.3,92,92,2,8,6,9,71,47,77,76,67,68,59,2,82,74,Placement,Cybersecurity Analyst,61.8,Average,83.0,78.6,Tech
B.Com,Hons,4,7.38,62,4.7,0.6,6.4,7.5,90,87,0,5,2,1,37,65,53,47,29,61,56,1,39,68,Placement,Business Analyst,60.9,Average,47.8,42.2,Commerce
Law,Criminal,3,8.23,63,4.0,1.0,6.6,6.1,89,86,3,3,1,3,49,64,57,52,51,60,58,0,50,62,Higher Studies,Product Manager,52.1,At Risk,35.8,41.2,Law
BBA,HR,4,8.85,72,7.0,2.5,7.7,4.5,100,100,0,6,3,5,95,58,87,76,71,67,74,2,74,83,Government Job,Data Analyst,81.2,Good,76.0,75.2,Management
B.Tech,CSE,2,7.76,72,5.7,4.2,7.8,6.0,97,94,0,5,4,5,100,50,96,77,72,61,59,0,56,97,Freelancing,DevOps Engineer,75.2,Good,83.9,82.5,Tech
B.Tech,AI&DS,2,6.72,67,4.0,1.1,5.9,7.5,79,76,1,3,2,2,39,35,75,65,49,71,68,0,50,67,Placement,Cybersecurity Analyst,52.3,At Risk,54.6,45.9,Tech
B.Tech,CSE,4,7.06,54,4.1,3.0,5.8,5.6,83,81,0,6,4,2,61,48,72,71,40,50,54,1,61,72,Government Job,Backend Developer,60.4,Average,69.3,36.4,Tech
B.Tech,CSE,3,8.22,83,5.8,4.4,7.9,4.7,99,97,0,6,5,5,69,51,90,83,74,51,71,1,82,98,Startup,Cloud Engineer,82.5,Good,81.8,52.0,Tech
B.Com,General,3,8.28,70,4.7,1.0,6.4,7.5,98,96,0,3,2,2,87,40,64,68,49,62,69,0,53,56,Placement,Business Analyst,77.3,Good,49.8,57.1,Commerce
BCA,General,1,8.12,83,4.7,2.9,7.3,4.6,93,88,1,4,3,5,69,87,74,64,56,76,72,2,86,83,Placement,Business Analyst,74.8,Average,75.9,87.1,Tech
B.Tech,IT,1,6.33,72,3.7,2.0,6.6,4.7,75,77,3,3,3,4,85,54,53,66,60,60,58,1,62,62,Placement,Product Manager,34.2,At Risk,51.3,61.9,Tech
Law,Corporate,3,7.78,81,5.7,0.4,7.6,4.4,95,86,1,2,2,3,52,31,63,58,54,48,58,0,44,54,Government Job,Business Analyst,69.6,Average,45.0,55.7,Law
B.Tech,CSE,4,7.87,64,4.0,2.7,6.1,2.4,96,87,3,6,5,6,80,59,56,84,68,65,67,2,95,80,Placement,Data Engineer,49.8,At Risk,83.7,68.7,Tech
BCA,General,2,7.6,71,5.2,3.8,7.3,6.1,84,89,1,5,2,3,68,45,65,61,59,72,64,0,77,64,Government Job,Backend Developer,63.2,Average,58.3,49.2,Tech
B.Tech,AI&DS,4,7.82,73,5.0,1.8,7.2,7.1,90,92,0,5,3,5,86,74,70,63,49,82,79,1,60,58,Higher Studies,Cybersecurity Analyst,73.1,Average,60.5,70.3,Tech
B.Tech,CSE,1,7.83,84,5.3,4.0,6.8,6.9,94,89,2,5,6,5,89,59,93,59,66,62,67,1,63,100,Government Job,AI Engineer,62.7,Average,74.9,74.2,Tech
B.Tech,AI&DS,3,7.93,78,6.5,1.7,7.1,6.2,90,88,0,2,1,6,57,40,59,50,33,60,51,0,56,74,Government Job,Data Analyst,75.1,Good,45.0,55.3,Tech
BCA,General,2,9.03,93,6.5,3.7,7.9,5.7,100,100,0,5,3,5,68,47,79,74,48,55,75,0,60,70,Placement,Cloud Engineer,92.7,Excellent,62.5,61.7,Tech
BCA,General,2,9.17,76,7.2,3.9,7.3,7.1,100,100,0,7,3,4,74,86,87,84,59,71,67,1,67,91,Startup,Cloud Engineer,86.4,Good,80.8,65.6,Tech
BCA,General,1,7.75,76,5.5,3.1,7.7,5.9,98,92,2,6,4,6,75,50,79,42,60,76,70,1,81,83,Higher Studies,UI/UX Designer,63.8,Average,79.4,50.5,Tech
BCA,General,2,7.95,76,3.6,2.2,8.4,6.8,87,87,1,4,4,6,77,40,80,78,47,85,59,2,66,93,Higher Studies,Data Analyst,64.6,Average,74.7,80.3,Tech
BCA,General,2,7.27,80,4.3,2.2,6.8,3.3,88,86,1,6,1,3,52,50,68,54,47,59,62,0,54,88,Placement,Software Engineer,57.4,Average,58.4,56.1,Tech
B.Tech,CSE,3,7.1,66,3.6,1.6,6.6,7.9,85,80,2,2,2,5,65,31,71,59,45,78,61,1,58,83,Higher Studies,Business Analyst,49.2,At Risk,53.6,48.5,Tech
B.Tech,IT,1,7.97,63,3.1,3.6,5.9,6.5,86,78,1,4,2,5,61,28,80,75,56,55,41,1,64,100,Placement,Software Engineer,59.7,Average,71.8,57.6,Tech
BCA,General,3,7.63,88,4.4,4.8,7.3,5.3,96,90,0,8,5,7,90,62,62,86,70,61,77,2,83,88,Placement,Backend Developer,80.1,Good,94.0,84.4,Tech
B.Tech,ECE,1,7.44,66,4.7,0.8,6.9,5.1,85,83,1,2,3,3,66,66,53,63,42,73,71,1,58,68,Placement,UI/UX Designer,56.7,Average,45.0,44.8,Tech
B.Tech,IT,4,7.65,85,4.9,3.9,5.8,5.4,88,88,0,5,3,6,91,63,79,77,62,63,65,1,84,87,Higher Studies,Backend Developer,78.0,Good,73.4,54.0,Tech
B.Tech,AI&DS,2,6.67,49,1.0,0.0,7.8,5.9,67,68,4,1,0,1,30,54,33,37,26,60,39,0,35,54,Placement,Data Analyst,20.5,At Risk,20.2,39.3,Tech
B.Tech,IT,1,7.16,70,3.4,3.1,6.8,7.7,83,82,0,6,5,5,77,57,74,52,51,54,67,1,74,80,Startup,Machine Learning Engineer,68.5,Average,75.6,73.9,Tech
BCA,General,2,7.54,74,2.7,4.5,6.4,7.2,85,80,1,6,3,6,80,29,76,93,65,45,52,1,73,83,Startup,Backend Developer,62.7,Average,79.8,74.9,Tech
BCA,General,3,7.82,73,3.4,3.9,6.9,5.8,83,79,1,6,4,5,64,63,100,60,76,71,48,2,87,88,Startup,Cybersecurity Analyst,63.6,Average,88.3,82.4,Tech
BCA,General,2,7.59,75,5.6,2.6,5.7,2.6,85,93,1,3,3,6,43,33,64,52,52,48,39,0,51,82,Placement,Cybersecurity Analyst,67.6,Average,58.2,57.3,Tech
BCA,General,3,7.35,74,4.3,0.6,6.9,4.9,92,86,1,2,1,4,42,37,76,38,45,40,30,0,50,65,Government Job,DevOps Engineer,63.9,Average,44.7,44.1,Tech
